2024-08-15 09:22:27 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:22:27 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:22:27 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:22:27 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:22:27 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:22:28 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::1
2024-08-15 09:22:31 [app] info: Method: GET, URL: /api/brands, IP: ::1
2024-08-15 09:23:54 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:23:54 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:23:54 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:23:54 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:23:54 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:23:58 [app] info: Method: GET, URL: /api/brands, IP: ::1
2024-08-15 10:15:17 [app] info: Method: GET, URL: /, IP: ::ffff:172.50.0.129
2024-08-15 10:15:17 [app] info: Method: GET, URL: /dist/styles.css, IP: ::ffff:172.50.0.129
2024-08-15 10:15:17 [app] info: Method: GET, URL: /apple-touch-icon-precomposed.png, IP: ::ffff:172.50.0.129
2024-08-15 10:15:17 [app] info: Method: GET, URL: /apple-touch-icon.png, IP: ::ffff:172.50.0.129
2024-08-15 10:15:17 [app] info: Method: GET, URL: /favicon.ico, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/favicon-32x32.png, IP: ::ffff:172.50.0.129
2024-08-15 10:15:25 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::ffff:172.50.0.129
2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/, IP: ::ffff:172.50.0.61
